zone,TP,TN,FP,FN,sensitivity,specificity,accuracy
left_anterior,22,248,54,111,0.16541353383458646,0.8211920529801324,0.6206896551724138
left_posterior,68,129,184,54,0.5573770491803278,0.41214057507987223,0.4528735632183908
right_anterior,30,255,63,87,0.2564102564102564,0.8018867924528302,0.6551724137931034
right_posterior,70,146,148,71,0.49645390070921985,0.4965986394557823,0.496551724137931
